Arquivo,Vertices,Arestas,Densidade,Representacao,Algoritmo,Direcionado,Execucao,Tempo(ns)
grafos/sample100-5940.gr,100,5940,0.6,Matriz,Bellman-Ford,Dirigido,9,1287100
grafos/sample100-5940.gr,100,5940,0.6,Matriz,Bellman-Ford,Dirigido,10,1347000
grafos/sample100-7920.gr,100,7920,0.8,Lista,Dijkstra,Dirigido,1,1256200
grafos/sample100-7920.gr,100,7920,0.8,Lista,Dijkstra,Dirigido,2,1229900
grafos/sample100-7920.gr,100,7920,0.8,Lista,Dijkstra,Dirigido,3,1389700
grafos/sample100-7920.gr,100,7920,0.8,Lista,Dijkstra,Dirigido,4,1619500
grafos/sample100-7920.gr,100,7920,0.8,Lista,Dijkstra,Dirigido,5,1548300
grafos/sample100-7920.gr,100,7920,0.8,Lista,Dijkstra,Dirigido,6,1595400
grafos/sample100-7920.gr,100,7920,0.8,Lista,Dijkstra,Dirigido,7,1374300
grafos/sample100-7920.gr,100,7920,0.8,Lista,Dijkstra,Dirigido,8,1116300
grafos/sample100-7920.gr,100,7920,0.8,Lista,Dijkstra,Dirigido,9,988500
grafos/sample100-7920.gr,100,7920,0.8,Lista,Dijkstra,Dirigido,10,842100
grafos/sample100-7920.gr,100,7920,0.8,Matriz,Dijkstra,Dirigido,1,188300
grafos/sample100-7920.gr,100,7920,0.8,Matriz,Dijkstra,Dirigido,2,153400
grafos/sample100-7920.gr,100,7920,0.8,Matriz,Dijkstra,Dirigido,3,149700
grafos/sample100-7920.gr,100,7920,0.8,Matriz,Dijkstra,Dirigido,4,159800
grafos/sample100-7920.gr,100,7920,0.8,Matriz,Dijkstra,Dirigido,5,151700
grafos/sample100-7920.gr,100,7920,0.8,Matriz,Dijkstra,Dirigido,6,156000
grafos/sample100-7920.gr,100,7920,0.8,Matriz,Dijkstra,Dirigido,7,155800
grafos/sample100-7920.gr,100,7920,0.8,Matriz,Dijkstra,Dirigido,8,155300
grafos/sample100-7920.gr,100,7920,0.8,Matriz,Dijkstra,Dirigido,9,151300
grafos/sample100-7920.gr,100,7920,0.8,Matriz,Dijkstra,Dirigido,10,156800
grafos/sample100-7920.gr,100,7920,0.8,Lista,Bellman-Ford,Dirigido,1,69475400
grafos/sample100-7920.gr,100,7920,0.8,Lista,Bellman-Ford,Dirigido,2,50133300
grafos/sample100-7920.gr,100,7920,0.8,Lista,Bellman-Ford,Dirigido,3,39654600
grafos/sample100-7920.gr,100,7920,0.8,Lista,Bellman-Ford,Dirigido,4,33321300
grafos/sample100-7920.gr,100,7920,0.8,Lista,Bellman-Ford,Dirigido,5,30228000
grafos/sample100-7920.gr,100,7920,0.8,Lista,Bellman-Ford,Dirigido,6,26387200
grafos/sample100-7920.gr,100,7920,0.8,Lista,Bellman-Ford,Dirigido,7,26978600
grafos/sample100-7920.gr,100,7920,0.8,Lista,Bellman-Ford,Dirigido,8,27159100
grafos/sample100-7920.gr,100,7920,0.8,Lista,Bellman-Ford,Dirigido,9,29471900
grafos/sample100-7920.gr,100,7920,0.8,Lista,Bellman-Ford,Dirigido,10,27694100
grafos/sample100-7920.gr,100,7920,0.8,Matriz,Bellman-Ford,Dirigido,1,2156100
grafos/sample100-7920.gr,100,7920,0.8,Matriz,Bellman-Ford,Dirigido,2,1697700
grafos/sample100-7920.gr,100,7920,0.8,Matriz,Bellman-Ford,Dirigido,3,1588600
grafos/sample100-7920.gr,100,7920,0.8,Matriz,Bellman-Ford,Dirigido,4,1457100
grafos/sample100-7920.gr,100,7920,0.8,Matriz,Bellman-Ford,Dirigido,5,1403000
grafos/sample100-7920.gr,100,7920,0.8,Matriz,Bellman-Ford,Dirigido,6,1399900
grafos/sample100-7920.gr,100,7920,0.8,Matriz,Bellman-Ford,Dirigido,7,1467400
grafos/sample100-7920.gr,100,7920,0.8,Matriz,Bellman-Ford,Dirigido,8,1612100
grafos/sample100-7920.gr,100,7920,0.8,Matriz,Bellman-Ford,Dirigido,9,1841600
grafos/sample100-7920.gr,100,7920,0.8,Matriz,Bellman-Ford,Dirigido,10,2030600
